asin,title,price,rating,number_of_reviews,bullet_points,seller_rank
B0B2D8PYDZ,"        D-FantiX Cyclone Boys Original Magnetic Speed Cube 3x3x3, Mirror Reflective Stickerless Magic Cube, Personalized Shiny Cube Puzzles for Kids Adults (56mm)       ",    Currently unavailable.   ,4.9 out of 5 stars,16 ratings, ,"#36,904 in Toys & Games ("
B092W69J9P,"        Rubik’s Cube, Original 3x3 Puzzle Brain Teaser Fidget Toy with Removable Interchangeable Mod Stickers to Customize, for Adults & Kids Ages 8 and up       ",9,4.7 out of 5 stars,691 ratings, ,"#1,054 in Toys & Games ("
B092W7D64G,"        Rubik's Cube, The Original 3x3 Cube 3D Puzzle Fidget Cube Stress Relief Fidget Toy Brain Teasers Travel Games, for Adults and Kids Ages 8 and up       ",18,4.7 out of 5 stars,"45,158 ratings", ,#54 in Toys & Games (
B09NZKSSQX,        Rubik's Cube It Game       ,12,4.8 out of 5 stars,17 ratings, ,"#125,092 in Toys & Games ("
B09FX2WLD5,"        Rubik’s Solve The Cube, 4-Pack Bundle Edge 2x2 Mini 3x3 Original 4x4 Master Brain Tease Toy Gift Set, for Adults & Kids Ages 8 and up Amazon Exclusive       ",11,4.8 out of 5 stars,59 ratings, ,"#53,450 in Toys & Games ("
B07WMB54CC,"        Rubik's Solve The Cube Bundle 4 Pack, Original Rubik's Products, Toy for Kids Ages 8 and Up       ",11,4.7 out of 5 stars,"1,637 ratings", ,"#14,542 in Toys & Games ("
B08J16B5H2, How To Solve A Rubik's Cube: Complete the Rubik’s Cube with Easy and Quick to Follow Step-by-Step Instructions for Beginners ,11,4.0 out of 5 stars,263 ratings,,
B07WDCYRVV,"        Rubik’s Perplexus Fusion 3 x 3, Challenging Puzzle Maze Ball Skill Game, for Adults and Kids Ages 8 and up       ",12,4.3 out of 5 stars,"1,420 ratings", ,"#6,791 in Toys & Games ("
,,,,,,
B09J9ZCN1L,"        Rubik’s Master, The Official 4x4 Cube Classic Color-Matching Problem-Solving Brain Teaser Puzzle 1-Player Game Toy, for Adults & Kids Ages 8 and up       ",12,4.6 out of 5 stars,76 ratings, ,"#15,526 in Toys & Games ("
B07H2FBXZG,"        Roxenda Speed Cube Set, Stickerless Magic Cube Set of 2x2x2 3x3x3 Pyramid Frosted Puzzle Cube       ",10,4.6 out of 5 stars,"6,251 ratings", ,"#4,634 in Toys & Games ("
B079VRX4YN,        Disney Theme Parks Edition Rubiks Rubix Cube       ,4,4.2 out of 5 stars,50 ratings, ,"#149,400 in Toys & Games ("
