asin,price,rating,number_of_reviews,bullet_points,seller_rank
B0B14R29Y8,274,4.3 out of 5 stars,27 ratings, ,"
        "
B09X6F7NLC,"3,999",4.0 out of 5 stars,27 ratings, ,"
        "
B09F33XM4Y,       ,5.0 out of 5 stars,1 rating, ,"
        "
B08B6F1NNR,316,4.4 out of 5 stars,524 ratings, ,"
        "
B0B7QPSLD9,579,4.6 out of 5 stars,19 ratings, ,"
        "
B09RBG6N7Y,38,3.9 out of 5 stars,32 ratings, ,"
        "
B09SVQ25XH,728,4.5 out of 5 stars,203 ratings, ,"
        "
B09YRY6QCX,142,3.8 out of 5 stars,14 ratings, ,"
        "
,,,,,
B0B6QCNP5D,"1,499",3.0 out of 5 stars,2 ratings, ,"
        "
B0B14T95L3,    Currently unavailable.   ,4.1 out of 5 stars,34 ratings, ,"
        "
B09RMW1L7Y,"1,999",4.5 out of 5 stars,176 ratings, ,"
        "
B09LRQN119,       ,5.0 out of 5 stars,10 ratings, ,"
        "
B0B7QS5VB2,549,4.8 out of 5 stars,18 ratings, ,"
        "
B09Q6HF84F,890,4.6 out of 5 stars,19 ratings, ,"
        "
B095RZ62BX,       ,4.2 out of 5 stars,406 ratings, ,"
        "
B09JQSLL92,    Currently unavailable.   ,4.8 out of 5 stars,"1,189 ratings"," Apple M1 Pro or M1 Max chip for a massive leap in CPU, GPU, and machine learning performance  ",
B09CQ7SXL4,655,,, ,"#43,688 in Computers & Accessories ("
B09G8SK2KK,       ,4.5 out of 5 stars,684 ratings, ,"
        "
B081FDK94Y,       ,4.2 out of 5 stars,154 ratings, ,"
        "
B09XD25XM4,"2,499",,, ,"#12,633 in Computers & Accessories ("
B092YHJGMN,       ,4.5 out of 5 stars,"3,797 ratings", ,"
        "
B09PHYDXCW,549,4.3 out of 5 stars,14 ratings, ,"
        "
B08ZKP45FP,       ,3.9 out of 5 stars,11 ratings, ,"
        "
B09F8JJDLW,216,4.3 out of 5 stars,616 ratings, ,"
        "
B09LYJZ8YC,"1,287",4.7 out of 5 stars,16 ratings, ,"
        "
B09TBPWQ34,"1,899",4.5 out of 5 stars,397 ratings, ,"
        "
B09RBHLRDC,"1,899",4.3 out of 5 stars,152 ratings, ,"
        "
B09G8627YK,999,4.5 out of 5 stars,25 ratings, ,"
        "
B08P5724PZ,586,4.1 out of 5 stars,53 ratings, ,"
        "
B09125DYQ3,"1,169",,, ,"#46,634 in Computers & Accessories ("
B0B69FVT6X,"1,139",4.8 out of 5 stars,8 ratings, ,"
        "
B0B67521S5,644,4.5 out of 5 stars,5 ratings, ,"
        "
B09RBBMMX5,       ,4.6 out of 5 stars,12 ratings, ,"
        "
B09MF2WRD9,283,4.3 out of 5 stars,9 ratings, ,"
        "
B08286CQNH,       ,4.6 out of 5 stars,44 ratings, ,"
        "
B09LYK1WWG,       ,4.2 out of 5 stars,52 ratings, ,"
        "
B09KSVJ796,       ,4.4 out of 5 stars,47 ratings, ,"
        "
B09MMX24B8,       ,4.7 out of 5 stars,20 ratings, ,"
        "
B09QPS8LRG,"1,849",3.7 out of 5 stars,12 ratings, ,"
        "
B09CKVSM3H,       ,4.3 out of 5 stars,12 ratings, ,"
        "
B09R94XYBS,"1,287",4.2 out of 5 stars,133 ratings, ,"
        "
B09DDG1VXL,678,4.2 out of 5 stars,123 ratings, ,"
        "
B09JB8YMNV,       ,4.8 out of 5 stars,83 ratings, ,"
        "
B09MQCZXFF,634,4.2 out of 5 stars,48 ratings, ,"
        "
B09D8SGXB6,"1,048",4.5 out of 5 stars,165 ratings, ,"
        "
B09RBCLYQ9,"1,399",4.3 out of 5 stars,5 ratings, ,"
        "
B09J5HXWG3,    Currently unavailable.   ,4.3 out of 5 stars,"2,599 ratings", ,"
        "
B086YDLPQR,"1,199",4.5 out of 5 stars,145 ratings, ,"
        "
B09BMHSMBF,       ,3.5 out of 5 stars,35 ratings, ,"
        "
B09D8RP84H,843,4.9 out of 5 stars,23 ratings, ,"
        "
B09F8XX4NS,       ,4.4 out of 5 stars,194 ratings, ,"
        "
B09TV36THW,"1,159",5.0 out of 5 stars,8 ratings, ,"
        "
B08KGZVHCV,       ,4.3 out of 5 stars,58 ratings, ,"
        "
B09YCMFJ94,       ,5.0 out of 5 stars,1 rating, ,"
        "
B09V6VKBYV,709,4.6 out of 5 stars,37 ratings, ,"
        "
B09RW8P364,       ,4.2 out of 5 stars,10 ratings, ,"
        "
B09XHTBTT7,       ,5.0 out of 5 stars,1 rating, ,"
        "
B091ZG5DVN,       ,5.0 out of 5 stars,1 rating, ,"
        "
B09BDGD2TZ,"1,099",4.6 out of 5 stars,424 ratings, ,"
        "
B092YHJLS6,"1,196",4.6 out of 5 stars,"3,327 ratings", ,"
        "
B09MCX6ZYN,       ,4.0 out of 5 stars,47 ratings, ,"
        "
B09RQ6LD23,"1,812",3.8 out of 5 stars,32 ratings, ,"
        "
B0B4BNGVLD,579,4.5 out of 5 stars,121 ratings, ,"
        "
B09PC2KVKM,826,4.5 out of 5 stars,25 ratings, ,"
        "
B09YFVNJZC,"1,287",5.0 out of 5 stars,1 rating, ,"
        "
B0B3GHTDN2,89,3.8 out of 5 stars,26 ratings, ,"
        "
B0B8PD2KFZ,"1,089",4.2 out of 5 stars,31 ratings, ,"
        "
B08529CQPK,159,4.5 out of 5 stars,"5,978 ratings",,"
        "
B09LYJHMK8,       ,4.7 out of 5 stars,16 ratings, ,"
        "
B09TDKV65Z,"3,499",4.6 out of 5 stars,123 ratings, ,"
        "
B09MF7DSMQ,380,4.7 out of 5 stars,57 ratings, ,"
        "
B08D6Z3YTF,839,4.6 out of 5 stars,186 ratings, ,"
        "
B09TWYSVPM,"1,537",4.7 out of 5 stars,"5,119 ratings", ,"
        "
B0B27JBPWD,609,4.6 out of 5 stars,30 ratings, ,"
        "
B09R2LP894,"1,080",4.4 out of 5 stars,29 ratings, ,"
        "
B09TBJWHW1,422,4.3 out of 5 stars,9 ratings, ,"
        "
B07VC55LF5,       ,4.5 out of 5 stars,"1,576 ratings", ,"
        "
B08PTH89J3,844,4.4 out of 5 stars,82 ratings, ,"
        "
B09SVQG3ZZ,16,4.4 out of 5 stars,73 ratings, ,"
        "
B091DBY1JT,       ,4.6 out of 5 stars,44 ratings, ,"
        "
B08YWRWLYM,979,4.1 out of 5 stars,24 ratings, ,"
        "
