asin,price,rating,number_of_reviews,bullet_points,seller_rank
B08467DT31,       ,,, ,"#323,423 in Toys & Games ("
B01EV3W3LA,       ,4.5 out of 5 stars,431 ratings, ,"#79,738 in Toys & Games ("
B008RQDTH0,    Currently unavailable.   ,2.9 out of 5 stars,64 ratings, ,"#356,871 in Toys & Games ("
B0971WX6C3,    Temporarily out of stock.   ,4.6 out of 5 stars,42 ratings, ,"#164,621 in Toys & Games ("
B07HHGLPGX,20,5.0 out of 5 stars,1 rating, ,"#579,408 in Toys & Games ("
B01IGIM51Y,    Currently unavailable.   ,4.7 out of 5 stars,277 ratings, ,"#106,682 in Toys & Games ("
B01N1G786D,       ,4.5 out of 5 stars,153 ratings, ,"#117,206 in Toys & Games ("
B08CRLTF8V,17,4.4 out of 5 stars,95 ratings, ,"#155,426 in Toys & Games ("
,,,,,
B08XC2DJ7W,       ,4.5 out of 5 stars,9 ratings, ,"#169,223 in Toys & Games ("
B001PGWDSU,       ,3.8 out of 5 stars,477 ratings, ,"#357,250 in Toys & Games ("
B08B84KLG6,14,4.7 out of 5 stars,506 ratings, ,"#125,560 in Toys & Games ("
B006T0HQ8O,       ,4.4 out of 5 stars,278 ratings, ,"#234,968 in Toys & Games ("
B076YNPK4Q,7,4.7 out of 5 stars,815 ratings, ,"#207,446 in Toys & Games ("
B09FFCGLG9,       ,4.4 out of 5 stars,152 ratings, ,"#132,007 in Toys & Games ("
B004W6K02G,       ,4.0 out of 5 stars,34 ratings, ,"#591,671 in Toys & Games ("
B0B1HBC4FZ,       ,,,,"#1,042,862 in Toys & Games ("
B0B1HHGLKD,       ,,,,"#1,044,266 in Toys & Games ("
B00J8OSJLG,    Currently unavailable.   ,4.0 out of 5 stars,8 ratings, ,"#585,798 in Toys & Games ("
B0051YV5X6,    Temporarily out of stock.   ,4.0 out of 5 stars,4 ratings, ,"
        "
B01L7JUW5K,       ,4.5 out of 5 stars,72 ratings, ,"#330,833 in Toys & Games ("
B01MXVATF9,9,3.4 out of 5 stars,3 ratings,,
B003631BOM,       ,4.5 out of 5 stars,36 ratings, ,"#633,682 in Toys & Games ("
B089HN7624,    Temporarily out of stock.   ,4.4 out of 5 stars,8 ratings, ,"#140,295 in Toys & Games ("
B008RQDWFE,6,2.9 out of 5 stars,12 ratings, ,"
        "
B005FLM6PG,    Currently unavailable.   ,4.1 out of 5 stars,30 ratings, ,"#443,024 in Toys & Games ("
B08L5DTNWL,    Currently unavailable.   ,3.5 out of 5 stars,2 ratings, ,"#620,995 in Toys & Games ("
B07V54973H,    Currently unavailable.   ,4.4 out of 5 stars,113 ratings, ,"#415,918 in Toys & Games ("
B009SDK2I0,       ,4.1 out of 5 stars,160 ratings, ,"#368,148 in Toys & Games ("
B08NQ11WB2,       ,,, ,"#1,157,030 in Toys & Games ("
B08FJDT5BN,    Currently unavailable.   ,3.5 out of 5 stars,2 ratings, ,"#980,957 in Toys & Games ("
B0051YVGXA,    Temporarily out of stock.   ,3.9 out of 5 stars,16 ratings, ,"
        "
B01N9U3IRR,12,4.5 out of 5 stars,272 ratings, ,"#123,226 in Toys & Games ("
